visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
911009570_44729272033_557199,2061195,Control,start,step_2,0,239.0,3.98,0.0,57,F,9,2,107654.78
911015638_7958472651_721404,2512392,Control,start,start,0,161.0,2.68,0.2,64,F,21,2,36298.02
911028454_4833595596_328596,2776894,Control,start,confirm,1,449.0,7.48,0.125,51,M,13,3,414284.72
911029496_61078509102_959337,2244086,Control,start,start,0,61.0,1.02,0.0,32,F,8,2,82610.29000000001
91105167_78691960715_953695,8620393,Test,start,confirm,1,415.0,6.92,0.2,50,F,6,2,47208.74
911064339_66519412685_234449,9267234,Control,start,start,0,0.0,0.0,0.0,27,F,23,2,24335.85
911092343_2518989966_999832,4954450,Test,start,start,0,84.0,1.4,0.0,27,M,11,2,37965.16
91109884_83386083905_67537,2659072,Test,start,confirm,1,744.0,12.4,0.0,68,M,26,2,62563.49
911099709_63482449833_672429,659594,Control,start,confirm,1,212.0,3.53,0.16666666666666666,28,F,8,2,68597.79999999999
911120049_19331307421_747474,4701664,Control,start,step_1,0,22.0,0.37,0.0,76,M,10,3,1242495.2
911131262_75879554652_104331,8517414,Control,start,step_3,0,159.0,2.65,0.0,48,F,17,2,139750.66999999998
911146663_1593546864_785000,7875969,Control,start,start,0,35.0,0.58,0.0,71,M,19,2,41098.27
911149321_32505566339_986970,7420672,Test,start,confirm,1,830.0,13.83,0.0,62,F,21,2,101644.84
911197487_92698142887_372588,4427457,Test,start,step_2,0,48.0,0.8,0.0,31,F,9,2,64771.32
911203862_76420157135_629764,6806451,Test,start,start,0,68.0,1.13,0.5,49,F,13,2,28247.93
911225067_43629973849_871447,9121023,Test,start,confirm,1,247.0,4.12,0.0,54,F,10,2,86595.51
91124654_1322304651_832668,3399896,Control,start,start,0,19.0,0.32,0.0,56,M,13,2,972945.83
911272434_76001234220_260223,4086452,Control,start,step_1,0,101.0,1.68,0.0,64,M,26,2,531478.63
91128409_66133323991_730591,1308214,Test,start,confirm,1,989.0,16.48,0.0,48,M,12,2,124290.16
